id,percentage_column,bst_time,day_of_week,current_date_bst,temperature,humidity,chance_of_rain,wind
619,64,825,3,2024-09-12,13,47,52,12
620,66,845,3,2024-09-12,13,47,30,12
621,66,865,3,2024-09-12,14,48,37,11
622,65,886,3,2024-09-12,14,48,46,12
623,71,905,3,2024-09-12,13,48,42,12
624,40,926,3,2024-09-12,13,48,42,12
625,47,946,3,2024-09-12,2,72,53,13
626,55,965,3,2024-09-12,2,73,62,13
627,64,986,3,2024-09-12,2,73,36,10
628,51,1006,3,2024-09-12,2,72,49,9
629,48,1026,3,2024-09-12,2,75,49,8
630,45,1046,3,2024-09-12,2,75,49,8
631,48,1065,3,2024-09-12,2,75,41,8
632,44,1085,3,2024-09-12,2,75,41,8
633,35,1106,3,2024-09-12,2,77,8,7
634,34,1126,3,2024-09-12,2,77,8,7
635,39,1145,3,2024-09-12,2,79,8,8
636,44,1165,3,2024-09-12,2,79,8,8
637,40,1186,3,2024-09-12,2,81,7,6
638,45,1206,3,2024-09-12,2,81,7,6
639,48,1225,3,2024-09-12,2,82,6,6
640,50,1246,3,2024-09-12,2,82,6,6
641,45,1266,3,2024-09-12,2,83,6,6
642,43,1286,3,2024-09-12,2,83,12,6
643,36,1306,3,2024-09-12,2,83,9,6
644,1,365,4,2024-09-13,15,66,2,13
645,1,385,4,2024-09-13,15,66,2,13
646,11,405,4,2024-09-13,15,66,2,13
647,24,425,4,2024-09-13,15,66,2,13
648,26,445,4,2024-09-13,15,63,2,13
649,33,465,4,2024-09-13,15,64,2,13
650,24,485,4,2024-09-13,15,61,2,13
651,31,505,4,2024-09-13,15,61,2,13
652,25,525,4,2024-09-13,15,61,2,13
653,26,545,4,2024-09-13,15,60,2,13
654,30,566,4,2024-09-13,14,61,2,12
655,37,585,4,2024-09-13,15,59,1,13
656,41,605,4,2024-09-13,15,59,1,13
657,48,625,4,2024-09-13,14,59,1,13
658,51,645,4,2024-09-13,14,59,1,13
659,49,665,4,2024-09-13,14,56,1,14
660,50,685,4,2024-09-13,14,57,1,14
661,56,705,4,2024-09-13,14,55,1,13
662,57,725,4,2024-09-13,14,55,1,13
663,65,745,4,2024-09-13,14,56,1,14
664,66,765,4,2024-09-13,14,56,7,14
665,63,785,4,2024-09-13,14,56,7,14
666,57,805,4,2024-09-13,14,54,2,14
667,45,825,4,2024-09-13,14,54,2,14
668,48,845,4,2024-09-13,15,54,18,14
669,59,865,4,2024-09-13,16,53,1,15
670,65,885,4,2024-09-13,16,54,15,14
671,65,905,4,2024-09-13,17,55,1,14
672,73,925,4,2024-09-13,9,71,50,15
673,75,945,4,2024-09-13,9,71,50,15
674,79,965,4,2024-09-13,9,73,50,13
675,80,985,4,2024-09-13,9,75,69,16
676,75,1006,4,2024-09-13,9,75,69,16
677,84,1025,4,2024-09-13,9,76,87,11
678,85,1045,4,2024-09-13,9,76,88,10
679,83,1066,4,2024-09-13,9,76,88,10
680,79,1085,4,2024-09-13,9,76,84,10
681,76,1105,4,2024-09-13,9,77,85,10
682,65,1125,4,2024-09-13,9,78,100,10
683,64,1146,4,2024-09-13,9,79,100,9
684,65,1166,4,2024-09-13,9,81,100,10
685,55,1185,4,2024-09-13,9,80,100,10
686,49,1205,4,2024-09-13,9,82,92,10
687,42,1225,4,2024-09-13,9,82,92,10
688,47,1245,4,2024-09-13,9,82,81,10
689,46,1265,4,2024-09-13,9,82,77,10
690,42,1285,4,2024-09-13,9,84,79,10
691,39,1305,4,2024-09-13,9,85,70,10
692,1,365,5,2024-09-14,18,81,24,20
693,2,385,5,2024-09-14,18,81,24,20
694,2,405,5,2024-09-14,18,80,17,20
695,1,425,5,2024-09-14,18,80,67,20
696,1,445,5,2024-09-14,18,80,18,20
697,2,465,5,2024-09-14,18,79,23,20
698,6,486,5,2024-09-14,18,80,23,20
699,9,505,5,2024-09-14,18,79,24,20
700,15,525,5,2024-09-14,18,79,35,20
701,15,545,5,2024-09-14,18,78,35,20
702,20,565,5,2024-09-14,18,78,35,20
703,18,585,5,2024-09-14,18,78,35,21
704,24,606,5,2024-09-14,18,79,35,20
705,40,625,5,2024-09-14,18,77,22,20
706,43,645,5,2024-09-14,18,77,22,20
707,45,665,5,2024-09-14,18,76,30,20
708,54,685,5,2024-09-14,18,76,30,21
709,65,705,5,2024-09-14,18,76,57,20
710,60,725,5,2024-09-14,18,76,30,20
711,55,745,5,2024-09-14,18,76,30,20
712,48,765,5,2024-09-14,18,75,24,21
713,35,786,5,2024-09-14,18,75,24,21
714,34,805,5,2024-09-14,18,74,21,21
715,40,825,5,2024-09-14,18,74,23,21
716,48,846,5,2024-09-14,18,75,30,21
717,52,865,5,2024-09-14,18,74,11,21
718,55,885,5,2024-09-14,18,74,10,22
719,54,905,5,2024-09-14,18,74,10,22
720,57,925,5,2024-09-14,11,82,60,21
721,52,945,5,2024-09-14,11,82,60,21
722,50,965,5,2024-09-14,11,83,38,19
723,53,985,5,2024-09-14,11,83,60,20
724,54,1005,5,2024-09-14,11,83,38,19
725,47,1025,5,2024-09-14,11,83,38,19
726,52,1045,5,2024-09-14,11,83,35,22
727,53,1066,5,2024-09-14,11,84,35,22
728,62,1085,5,2024-09-14,11,84,35,23
729,62,1105,5,2024-09-14,11,84,35,23
730,62,1126,5,2024-09-14,11,84,35,22
731,47,1145,5,2024-09-14,11,84,35,22
732,40,1165,5,2024-09-14,11,86,41,26
733,39,1185,5,2024-09-14,11,86,35,25
734,41,1205,5,2024-09-14,11,86,24,24
735,53,1225,5,2024-09-14,11,87,21,21
736,49,1245,5,2024-09-14,11,87,24,21
737,35,1265,5,2024-09-14,11,85,30,23
738,30,1285,5,2024-09-14,11,85,30,23
739,30,1305,5,2024-09-14,11,85,20,21
740,31,365,6,2024-09-15,17,75,13,16
741,31,386,6,2024-09-15,17,73,17,16
742,31,405,6,2024-09-15,17,74,17,16
743,31,425,6,2024-09-15,17,74,17,16
744,31,445,6,2024-09-15,18,73,16,16
745,31,465,6,2024-09-15,17,73,14,16
746,0,485,6,2024-09-15,17,73,14,16
747,24,505,6,2024-09-15,17,71,9,16
748,38,525,6,2024-09-15,17,70,10,16
749,46,545,6,2024-09-15,17,70,10,16
750,40,565,6,2024-09-15,17,70,14,16
751,26,585,6,2024-09-15,17,70,17,16
752,26,605,6,2024-09-15,17,70,17,16
753,24,626,6,2024-09-15,17,70,18,16
754,31,645,6,2024-09-15,17,69,23,16
755,42,665,6,2024-09-15,17,69,23,16
756,46,685,6,2024-09-15,17,68,23,16
757,47,705,6,2024-09-15,17,68,23,16
758,47,725,6,2024-09-15,17,65,15,16
759,42,745,6,2024-09-15,17,66,18,16
760,40,765,6,2024-09-15,17,66,9,17
761,42,785,6,2024-09-15,17,66,12,17
762,50,805,6,2024-09-15,18,67,43,17
763,57,825,6,2024-09-15,18,67,43,17
764,57,845,6,2024-09-15,19,61,9,19
765,54,865,6,2024-09-15,18,63,11,19
766,55,885,6,2024-09-15,17,62,15,18
767,55,905,6,2024-09-15,7,81,30,16
768,49,925,6,2024-09-15,7,81,30,16
769,55,945,6,2024-09-15,7,81,8,16
770,65,965,6,2024-09-15,6,81,8,18
771,70,986,6,2024-09-15,6,81,8,18
